id,category,level,question,option1,option2,option3,option4,answer,explanation
"DAM-E012","damascus","easy","من هو القائد التاريخي الذي يقع ضريحه بجوار جدار الجامع الأموي بدمشق؟","صلاح الدين الأيوبي","نور الدين زنكي","الظاهر بيبرس","خالد بن الوليد","صلاح الدين الأيوبي","ضريح القائد صلاح الدين الأيوبي يقع في المدرسة الصلاحية الملاصقة للجامع الأموي."
"DAM-E013","damascus","easy","كيف كانت دمشق القديمة تحمي أراضيها الزراعية المحيطة بها (الغوطة)؟","بالتوسع العمراني العمودي والمتراص بدلاً من التوسع الأفقي","ببناء أسوار خرسانية حديثة","بمنع الزراعة تماماً","بتحويل الغوطة إلى منطقة صناعية","بالتوسع العمراني العمودي والمتراص بدلاً من التوسع الأفقي","البيوت الدمشقية بنيت متراصة لتقليل استهلاك الأراضي الزراعية القيمة."
"DAM-E014","damascus","easy","أي قصر يُعد النموذج الأجمل للعمارة المدنية الدمشقية في القرن الثامن عشر؟","قصر العظم","قصر الحير","قصر تشنق","قصر النعسان","قصر العظم","قصر العظم بناه الوالي أسعد باشا العظم، وهو تحفة تمثل البيت الشامي التقليدي."
"DAM-E015","damascus","easy","ما هو التخطيط الهندسي الذي اعتمده الرومان لدمشق القديمة؟","الشبكي (شوارع مستقيمة تتقاطع بزوايا قائمة)","الدائري العشوائي","اللولبي","الشعاعي","الشبكي (شوارع مستقيمة تتقاطع بزوايا قائمة)","التخطيط الشطرنجي الروماني لا يزال واضحاً، وأبرز أمثلته ""الشارع المستقيم""."
"ENV-E001","environment","easy","أي ممارسة يومية في المنزل هي الأهم لتقليل حجم النفايات المتجهة للمكبات؟","فرز النفايات العضوية عن البلاستيك والورق","حرق النفايات في حاوية الشارع","شراء أكياس قمامة أكبر حجماً","رمي النفايات في الأنهار","فرز النفايات العضوية عن البلاستيك والورق","الفرز من المصدر يمنع تلوث المواد القابلة للتدوير ويسهل معالجتها."
"ENV-E002","environment","easy","كيف يمكننا الاستفادة من بقايا الخضار والفواكه بدل رميها في القمامة؟","تحويلها إلى سماد طبيعي (كومبوست)","تجميدها في الثلاجة للأبد","خلطها مع النفايات البلاستيكية","رميها في مجاري الصرف الصحي","تحويلها إلى سماد طبيعي (كومبوست)","صناعة الكومبوست المنزلي تقلل القمامة وتغذي النباتات بمواد طبيعية."
"ENV-E003","environment","easy","أي مصدر طاقة يُعتبر الأنسب والأكثر استدامة للاستخدام المنزلي في سوريا؟","الطاقة الشمسية","الفحم الحجري","الطاقة النووية","طاقة المد والجزر","الطاقة الشمسية","سوريا تتمتع بعدد ساعات سطوع شمسي عالٍ جداً مما يجعلها طاقة مثالية ونظيفة."
"ENV-E004","environment","easy","ما هو البديل البيئي الأفضل لأكياس التسوق البلاستيكية (النايلون)؟","الأكياس القماشية متعددة الاستخدام","الأكياس البلاستيكية الملونة","أكياس النايلون الشفافة","الاعتماد على الكراتين البلاستيكية","الأكياس القماشية متعددة الاستخدام","الأكياس القماشية تمنع تراكم ملايين أكياس البلاستيك التي تحتاج مئات السنين لتتحلل."
"ENV-E005","environment","easy","أي سلوك يُعد الأبسط للحفاظ على الموارد المائية في المنازل؟","إصلاح تسربات المياه في الصنابير فوراً","غسيل السيارات بالخرطوم يومياً","ترك صنبور الماء مفتوحاً دائماً","ري الحدائق وقت الظهيرة","إصلاح تسربات المياه في الصنابير فوراً","قطرة ماء تتسرب يومياً تعني هدراً لآلاف الليترات سنوياً؛ الصيانة هي أساس الترشيد."
"ENV-E006","environment","easy","ما هو التأثير السلبي الأكبر لحرق النفايات داخل الأحياء السكنية؟","إطلاق غازات سامة تسبب أمراضاً تنفسية خطيرة","توفير تكلفة نقل القمامة","تحسين جودة الهواء","إنتاج سماد للزراعة","إطلاق غازات سامة تسبب أمراضاً تنفسية خطيرة","حرق البلاستيك والمواد العضوية يطلق الديوكسينات والغازات المسرطنة في هواء الحي."
"ENV-E007","environment","easy","ماذا نعني بعملية ""إعادة التدوير"" (Recycling)؟","معالجة المواد المستهلكة لتحويلها إلى منتجات جديدة","إعادة استخدام العلبة كما هي لمرة واحدة","حرق النفايات لتوليد الكهرباء","طمر النفايات في باطن الأرض","معالجة المواد المستهلكة لتحويلها إلى منتجات جديدة","إعادة التدوير تعني إدخال المادة في عملية صناعية جديدة (مثل صهر الزجاج لتشكيله)."
"ENV-E008","environment","easy","كيف تساهم زراعة الأشجار في الأحياء في مكافحة التلوث؟","تمتص ثاني أكسيد الكربون وتطلق الأكسجين وتخفف الغبار","تزيد من انبعاث الغازات السامة","ترفع درجات الحرارة في الصيف","تستهلك كل المياه الجوفية","تمتص ثاني أكسيد الكربون وتطلق الأكسجين وتخفف الغبار","الأشجار تعمل كرئة طبيعية للحي، تصفي الهواء وتوفر ظلاً يخفض درجات الحرارة."
"ENV-E009","environment","easy","ما هي ""المياه الرمادية"" التي يمكن إعادة استخدامها في المنازل؟","المياه الناتجة عن المغاسل والاستحمام والتي يمكن استخدامها لري الحدائق","المياه شديدة التلوث من الصرف الصحي","مياه الأمطار الحمضية","مياه البحر المالحة","المياه الناتجة عن المغاسل والاستحمام والتي يمكن استخدامها لري الحدائق","المياه الرمادية خالية من الفضلات الصلبة، ويمكن الاستفادة منها زراعياً بعد فلترة بسيطة."
"ENV-E010","environment","easy","أي ممارسة تساهم في تقليل ""التلوث السمعي"" (الضوضاء) في الأحياء؟","صيانة المولدات الكهربائية وعدم استخدام أبواق السيارات بلا مبرر","تشغيل مكبرات الصوت ليلاً","إزالة الأشجار من الشوارع","استخدام المفرقعات النارية","صيانة المولدات الكهربائية وعدم استخدام أبواق السيارات بلا مبرر","الضجيج المستمر يرفع التوتر ومعدل نبضات القلب، والالتزام بالهدوء هو سلوك بيئي."
"ENV-E011","environment","easy","ما هو الخطر البيئي الأكبر لرمي البطاريات المستعملة في النفايات العادية؟","تسرب المعادن الثقيلة السامة كالرصاص إلى التربة والمياه الجوفية","انفجارها في حاويات القمامة فقط","زيادة وزن النفايات","لا تشكل أي خطر بيئي","تسرب المعادن الثقيلة السامة كالرصاص إلى التربة والمياه الجوفية","البطاريات تحتوي على مواد كيميائية سامة تتطلب جمعاً ومعالجة خاصة لحماية المياه."
"ENV-E012","environment","easy","ما هو الغاز الرئيسي المسبب لظاهرة ""الاحتباس الحراري""؟","ثاني أكسيد الكربون","الأكسجين","النيتروجين","الهيليوم","ثاني أكسيد الكربون","ثاني أكسيد الكربون الناتج عن حرق الوقود هو المسبب الأول لاحتباس حرارة الأرض."
"ENV-E013","environment","easy","كيف يساهم النقل العام (الباصات) في حماية البيئة؟","يقلل عدد السيارات بالشارع مما يخفض الانبعاثات والازدحام","يزيد من استهلاك الوقود","يبطئ حركة المرور دائماً","لا يؤثر على البيئة","يقلل عدد السيارات بالشارع مما يخفض الانبعاثات والازدحام","حافلة واحدة يمكن أن تحل محل 40 سيارة خاصة، مما يقلل التلوث الكربوني بشكل هائل."
"ENV-E014","environment","easy","ما هي أفضل طريقة لترشيد استهلاك الورق في المدارس والجامعات؟","الطباعة على الوجهين واستخدام الملفات الرقمية","حرق الأوراق المستعملة يومياً","الطباعة ببنط خط كبير جداً","استخدام ورق ملون فقط","الطباعة على الوجهين واستخدام الملفات الرقمية","التقليل من استخدام الورق يحمي الغابات ويقلل استهلاك المياه والطاقة في مصانع الورق."
"ENV-E015","environment","easy","ما المقصود بـ ""الحزام الأخضر"" حول المدن؟","مساحات مشجرة تحيط بالمدينة لصد الغبار وتلطيف المناخ","أسوار خرسانية مطلية باللون الأخضر","شوارع مخصصة للسيارات الكهربائية","أنابيب مياه خضراء","مساحات مشجرة تحيط بالمدينة لصد الغبار وتلطيف المناخ","الأحزمة الخضراء تعمل كمصدات رياح طبيعية وتحمي المدن من زحف التصحر."
"DEV-E001","development","easy","ما هو المبدأ البسيط والأساسي للتنمية المستدامة؟","تلبية احتياجات الحاضر دون الإضرار بحقوق الأجيال القادمة","استهلاك الموارد بسرعة لبناء اقتصاد قوي","وقف الصناعة تماماً لحماية البيئة","تصدير الموارد للخارج فقط","تلبية احتياجات الحاضر دون الإضرار بحقوق الأجيال القادمة","التنمية المستدامة تعني الموازنة الدائمة بين الاقتصاد والمجتمع وحماية البيئة للمستقبل."
"DEV-E002","development","easy","دعم ورشة خياطة لنساء في حي ليعتمدن على أنفسهن، ماذا يسمى تنموياً؟","التمكين الاقتصادي","العمل الخيري المؤقت","التنمية العمرانية","الإغاثة الطارئة","التمكين الاقتصادي","التمكين الاقتصادي يزود الأفراد بالمهارات ليصبحوا منتجين ومستقلين مادياً بدلاً من الاعتماد على المعونات."
"DEV-E003","development","easy","ما الذي يمثله ""البعد الاجتماعي"" في عملية التنمية الشاملة؟","الاهتمام بالتعليم والصحة والعدالة الاجتماعية","تطوير القطاع المصرفي والبنوك","بناء الجسور والطرقات السريعة","زيادة الصادرات الصناعية","الاهتمام بالتعليم والصحة والعدالة الاجتماعية","البعد الاجتماعي يركز على الإنسان، فلا معنى للنمو الاقتصادي إذا كان المجتمع جاهلاً أو مريضاً."
"DEV-E004","development","easy","لماذا من المهم إشراك أهل الحي قبل بناء حديقة عامة لهم؟","لمعرفة احتياجاتهم وخلق شعور بملكية المشروع للحفاظ عليه","لجمع التبرعات المالية منهم حصراً","لتنظيف المكان قبل مجيء العمال","لأن القانون يفرض ذلك دولياً","لمعرفة احتياجاتهم وخلق شعور بملكية المشروع للحفاظ عليه","المشاركة المجتمعية تضمن أن المشروع يخدم حاجة حقيقية، ويجعل السكان شركاء في حمايته."
"DEV-E005","development","easy","ما الفرق الأبرز بين العمل ""الإغاثي"" والعمل ""التنموي""؟","الإغاثة مساعدة طارئة مؤقتة، والتنمية حلول مستدامة لجذور المشكلة","التنمية أسرع من الإغاثة دائماً","الإغاثة للمدن والتنمية للريف","لا يوجد أي فرق بينهما","الإغاثة مساعدة طارئة مؤقتة، والتنمية حلول مستدامة لجذور المشكلة","توزيع الطعام إغاثة (حل مؤقت)، بينما تعليم مهنة وتوفير عمل هو تنمية (حل مستدام)."
"DEV-E006","development","easy","دعم الحرف اليدوية التقليدية في دمشق القديمة يساهم في ماذا؟","الحفاظ على التراث وخلق فرص عمل مستدامة","تدمير الاقتصاد المحلي","زيادة التلوث البيئي","منع التطور التكنولوجي","الحفاظ على التراث وخلق فرص عمل مستدامة","الصناعات الثقافية والحرفية هي مورد اقتصادي هام يدعم السياحة ويحمي هوية المجتمع."
"DEV-E007","development","easy","ما هو دور ""التعليم"" في التنمية المستدامة؟","هو الركيزة الأساسية للقضاء على الفقر وبناء وعي مجتمعي سليم","لا علاقة للتعليم بالتنمية الاقتصادية","يفيد فقط في زيادة أعداد الموظفين الحكوميين","يزيد من تكاليف ميزانية الدولة بلا عائد","هو الركيزة الأساسية للقضاء على الفقر وبناء وعي مجتمعي سليم","التعليم الجيد يكسر حلقة الفقر ويزود المجتمع بالمهارات اللازمة للابتكار والتطور."
"DEV-E008","development","easy","ماذا تعني ""الاستدامة المؤسسية"" لمشروع خيري أو تنموي؟","قدرة المشروع على الاستمرار إدارياً ومالياً دون الاعتماد على شخص واحد","قدرة المشروع على الظهور في الإعلام يومياً","أن يكون المبنى مبنياً من الخرسانة القوية","أن يتم تغيير مدير المشروع كل شهر","قدرة المشروع على الاستمرار إدارياً ومالياً دون الاعتماد على شخص واحد","الاستدامة تعني وجود هيكل إداري ونظام يسمح للعمل بالاستمرار حتى لو غادر المؤسسون."
"DEV-E009","development","easy","كيف نحقق تنمية شاملة تضمن ""عدم ترك أحد خلف الركب""؟","بدمج ذوي الإعاقة وكبار السن والفئات المهمشة في أنشطة المجتمع","بالاهتمام بالأغنياء فقط لزيادة الاستثمارات","ببناء مدارس للشباب الذكور فقط","بإلغاء الجمعيات الخيرية","بدمج ذوي الإعاقة وكبار السن والفئات المهمشة في أنشطة المجتمع","التنمية الحقيقية تُقاس بمدى اهتمامها ودمجها للفئات الأكثر ضعفاً واحتياجاً في المجتمع."
"DEV-E010","development","easy","لماذا تُعتبر ""المساحات العامة"" (الساحات والحدائق) مهمة في تنمية الأحياء؟","تعزز التواصل الاجتماعي وتوفر متنفساً صحياً وآمناً للسكان","تزيد من الازدحام المروري","تُستخدم كأراضٍ استثمارية للبيع فقط","تمنع بناء الأسواق التجارية","تعزز التواصل الاجتماعي وتوفر متنفساً صحياً وآمناً للسكان","المساحة العامة هي غرفة الجلوس الخاصة بالحي، حيث تلتقي العائلات وتنمو العلاقات الاجتماعية."
"DEV-E011","development","easy","ما هو الأثر التنموي لمشاركة المرأة في النشاط الاقتصادي المحلي؟","تحسين مستوى معيشة الأسرة ودعم النمو الاقتصادي للمجتمع","زيادة معدلات البطالة بين الرجال","إهمال تربية الأطفال بشكل كامل","تراجع الصناعات الثقيلة","تحسين مستوى معيشة الأسرة ودعم النمو الاقتصادي للمجتمع","التمكين الاقتصادي للمرأة ينعكس فوراً على جودة صحة وتعليم أطفالها ويرفع دخل الأسرة."
"DEV-E012","development","easy","في الأحياء التاريخية، أيهما يمثل خطوة تنموية صحيحة ومستدامة؟","ترميم المنازل القديمة وتزويدها بالخدمات مع الحفاظ على طابعها","هدم المنازل القديمة وبناء أبراج سكنية حديثة","إجبار السكان على إخلاء الحي لتحويله لمتحف","إغلاق الحي بالكامل أمام الزوار","ترميم المنازل القديمة وتزويدها بالخدمات مع الحفاظ على طابعها","التنمية العمرانية في المدن القديمة تهدف لتسهيل حياة السكان مع الحفاظ على الهوية التراثية."
"DEV-E013","development","easy","كيف تساهم ""السياحة الثقافية"" في التنمية المحلية؟","تخلق فرص عمل لأهل الحي في الحرف والضيافة وترمم الاقتصاد","تؤدي إلى تدمير العادات والتقاليد المحلية","تقتصر فوائدها على شركات الطيران","ترفع نسبة التلوث الصناعي","تخلق فرص عمل لأهل الحي في الحرف والضيافة وترمم الاقتصاد","السياحة المستدامة توظف أبناء المجتمع المحلي وتدفع عجلة الصناعات اليدوية والخدمات."
"DEV-E014","development","easy","ما أهمية وجود مستوصف (مركز صحي محلي) في خطط التنمية للأحياء؟","توفير رعاية صحية أولية ووقائية تخفف الضغط عن المستشفيات الكبرى","توزيع الأدوية المجانية دون فحص","عزل المرضى عن باقي المجتمع","توفير فرص عمل للأطباء الأجانب فقط","توفير رعاية صحية أولية ووقائية تخفف الضغط عن المستشفيات الكبرى","الرعاية الأولية (كاللقاحات والتوعية) تمنع تفاقم الأمراض وتوفر تكاليف العلاج الباهظة."
"DEV-E015","development","easy","ما المقصود بمفهوم ""العمل اللائق"" كأحد أهداف التنمية؟","توفير عمل منتج بأجر عادل مع ضمان الأمن والسلامة للموظف","العمل لساعات طويلة جداً لزيادة الإنتاج","تشغيل الأطفال لزيادة دخل الأسرة","العمل دون عقود لتسهيل التوظيف","توفير عمل منتج بأجر عادل مع ضمان الأمن والسلامة للموظف","العمل اللائق يحمي كرامة الإنسان، ويمنع استغلال العمالة، ويوفر بيئة آمنة ومنتجة."
"INI-E001","initiative","easy","ما هو الدافع الأهم الذي يجب أن تُبنى عليه أي مبادرة مجتمعية ناجحة؟","تلبية احتياج أو مشكلة حقيقية يعاني منها سكان الحي","تحقيق الظهور الإعلامي لجمع الإعجابات","شراء معدات حديثة وتصويرها","تقليد مبادرة أخرى في حي آخر دون دراسة","تلبية احتياج أو مشكلة حقيقية يعاني منها سكان الحي","المبادرة الناجحة هي استجابة مدروسة ومباشرة لحاجة محلية ملحة يشعر بها الناس."
"INI-E002","initiative","easy","كيف نُعرف ""العمل التطوعي"" في أبسط صوره؟","تقديم الجهد والوقت والخبرة لخدمة المجتمع طواعية بلا مقابل مالي","العمل الإضافي المأجور بعد أوقات الدوام الرسمي","تنفيذ المهام التي تفرضها الحكومة إجبارياً","التبرع بالمال فقط للجمعيات","تقديم الجهد والوقت والخبرة لخدمة المجتمع طواعية بلا مقابل مالي","التطوع يرتكز على الإرادة الحرة والرغبة الصادقة في العطاء وخدمة الصالح العام."
"INI-E003","initiative","easy","من هم ""أصحاب المصلحة"" (Stakeholders) عند تخطيط مبادرة في الحي؟","كل شخص أو جهة تتأثر بالمبادرة سلباً أو إيجاباً أو يمكنها التأثير فيها","الجهات الممولة التي دفعت المال فقط لا غير","فريق العمل الأساسي المكون من المؤسسين فقط","الجمهور المتابع عبر وسائل التواصل الاجتماعي","كل شخص أو جهة تتأثر بالمبادرة سلباً أو إيجاباً أو يمكنها التأثير فيها","إشراك المستفيدين، والجيران، والجهات الرسمية يضمن الدعم ويمنع المعارضة لاحقاً."
"INI-E004","initiative","easy","إذا كان هدفنا ""تنظيف الحديقة""، كيف نجعله هدفاً ذكياً (SMART)؟","تنظيف الحديقة الشرقية بالكامل خلال عطلة نهاية هذا الأسبوع","تنظيف كل حدائق المدينة يوماً ما","جعل حديقتنا أجمل حديقة في العالم","منع الناس من الدخول للحديقة لتبقى نظيفة","تنظيف الحديقة الشرقية بالكامل خلال عطلة نهاية هذا الأسبوع","الهدف الذكي يجب أن يكون محدداً بالمكان، قابلاً للقياس، ومحدداً بإطار زمني واضح."
"INI-E005","initiative","easy","لماذا يُعتبر ""العمل الجماعي"" أفضل من العمل الفردي في المبادرات؟","لأنه يوزع المهام، يدمج المهارات المختلفة، ويضمن استمرار العمل","لأنه يوفر الوقت في اتخاذ القرارات فوراً","لأنه يضمن الشهرة لجميع أفراد الفريق","لأن العمل الفردي ممنوع قانونياً","لأنه يوزع المهام، يدمج المهارات المختلفة، ويضمن استمرار العمل","يد الله مع الجماعة؛ التنوع في المهارات يغطي النقص ويزيد من جودة وتأثير المبادرة."
"INI-E006","initiative","easy","انتهت المبادرة من دهان وتجميل جدران المدرسة. كيف نضمن ""استدامة"" هذا العمل؟","تشكيل لجنة من الطلاب والمعلمين للحفاظ عليها وتوعية البقية","ترك الجدران والبحث عن مدرسة أخرى فوراً","وضع حراس أمن طوال الليل لحمايتها","إغلاق المدرسة لتبقى جميلة","تشكيل لجنة من الطلاب والمعلمين للحفاظ عليها وتوعية البقية","الاستدامة تعني خلق وعي ونظام رعاية محلي يضمن الحفاظ على المنجزات بعد رحيل الفريق."
"INI-E007","initiative","easy","لماذا يجب ""تقييم"" المبادرة بعد الانتهاء من تنفيذها؟","لمعرفة ما نجح وما فشل، واستخلاص الدروس لتحسين المشاريع القادمة","لمعاقبة المتطوعين الذين أخطأوا","لصناعة ملف صور ضخم لعرضه فقط","للتفاخر أمام المبادرات الأخرى في الأحياء","لمعرفة ما نجح وما فشل، واستخلاص الدروس لتحسين المشاريع القادمة","التقييم هو عملية تعلم مستمرة؛ الأخطاء هي دروس مجانية لتطوير الأداء المستقبلي."
"INI-E008","initiative","easy","ما أهمية عملية ""التشبيك"" (Networking) مع مبادرات أخرى؟","تبادل الخبرات والموارد وتكبير حجم الأثر وتجنب تكرار الأخطاء","التنافس لجمع أكبر قدر من التبرعات من نفس الداعمين","دمج جميع المبادرات إجبارياً باسم واحد","تبادل الصور والمنشورات فقط","تبادل الخبرات والموارد وتكبير حجم الأثر وتجنب تكرار الأخطاء","التشبيك يخلق تكاملاً؛ فمبادرة تنظيف تكملها مبادرة إعادة تدوير ومبادرة توعية."
"INI-E009","initiative","easy","قبل إطلاق مبادرة لتنظيف الحي، ما هي الخطوة التحضيرية الأفضل؟","استثمار موارد الحي (متطوعين، أدوات من المحلات، دعم الأهالي)","استيراد أدوات تنظيف غالية من الخارج","طلب سيارات تنظيف ضخمة من مدينة أخرى","تجاهل رأي أهالي الحي تماماً","استثمار موارد الحي (متطوعين، أدوات من المحلات، دعم الأهالي)","الاعتماد على الموارد المحلية يقلل التكاليف ويزيد من شعور الانتماء والمشاركة المجتمعية."
"INI-E010","initiative","easy","ما هي أهمية كتابة ""خطة عمل"" (Action Plan) قبل البدء بالتنفيذ؟","توضيح المهام، ومن سينفذها، ومتى، وما هي الموارد المطلوبة","إرضاء الجهات الداعمة فقط بالورق","تأخير التنفيذ وإضاعة الوقت","منع المتطوعين من التفكير الإبداعي","توضيح المهام، ومن سينفذها، ومتى، وما هي الموارد المطلوبة","خطة العمل هي البوصلة التي تمنع الفوضى وتضمن إنجاز المهام في وقتها المحدد."
"INI-E011","initiative","easy","لماذا يعتبر ""التوثيق"" خطوة أساسية في أي مبادرة؟","لحفظ الدروس المستفادة، وتوفير مرجع للمستقبل، وعرض الشفافية للداعمين","لأغراض النشر الشخصي على وسائل التواصل فقط","لجمع الإعجابات وزيادة الشهرة","لإثبات أن الفريق يعمل أكثر من غيره","لحفظ الدروس المستفادة، وتوفير مرجع للمستقبل، وعرض الشفافية للداعمين","التوثيق المكتوب والمصور هو الذاكرة المؤسسية للمبادرة ودليل مصداقيتها وشفافيتها."
"INI-E012","initiative","easy","عند حل مشكلة رمي القمامة في الحي، ماذا يجب أن يسبق توزيع الحاويات؟","حملة توعية مجتمعية لتغيير السلوك وشرح أهمية النظافة","توزيع غرامات مالية فورية على السكان","إزالة جميع الحاويات القديمة فجأة","زرع كاميرات مراقبة سرية","حملة توعية مجتمعية لتغيير السلوك وشرح أهمية النظافة","تغيير الأداة (الحاوية) لا ينفع دون تغيير العقلية والسلوك عبر التوعية والمشاركة."
"INI-E013","initiative","easy","كيف نضمن كفاءة الفريق أثناء العمل الميداني؟","بتقسيم المهام وتوزيع الأدوار بوضوح حسب مهارة كل متطوع","بجعل الجميع يعملون نفس العمل في نفس الوقت","بترك المتطوعين يختارون مهامهم عشوائياً يوم التنفيذ","بإجبار الجميع على القيام بأعمال شاقة","بتقسيم المهام وتوزيع الأدوار بوضوح حسب مهارة كل متطوع","توزيع الأدوار يمنع التضارب والاتكالية، ويستثمر نقاط قوة كل فرد في مكانها الصحيح."
"INI-E014","initiative","easy","ما الفرق بين ""المبادرة المجتمعية"" و ""الفعالية (الحدث)""؟","المبادرة عملية مستمرة لحل مشكلة، الفعالية نشاط مؤقت ينتهي بوقته","لا يوجد فرق، كلاهما يحتاج لتصوير","المبادرة تحتاج مالاً والفعالية مجانية","الفعالية دائماً أكبر من المبادرة","المبادرة عملية مستمرة لحل مشكلة، الفعالية نشاط مؤقت ينتهي بوقته","الفعالية (مثل حفل أو ندوة) قد تكون جزءاً من مبادرة، لكن المبادرة مشروع متكامل ومستمر."
"INI-E015","initiative","easy","لماذا نلجأ لاستشارة ""كبار السن ومخاتير الأحياء"" قبل إطلاق مبادرة محلية؟","لأنهم يمتلكون المعرفة العميقة بتاريخ المشاكل، والقبول الاجتماعي للتأثير على السكان","لأنهم سيمولون المبادرة مادياً","لإجبارهم على العمل اليدوي مع الشباب","مجرد إجراء شكلي لا قيمة عملية له","لأنهم يمتلكون المعرفة العميقة بتاريخ المشاكل، والقبول الاجتماعي للتأثير على السكان","الحكمة والوجاهة الاجتماعية لكبار الحي هي مفتاح ذهبي لكسب ثقة السكان وتعاونهم."
"DAM-E016","damascus","easy","ما هو المعلم المائي البارز الذي يتوسط الباحة الرخامية للجامع الأموي؟","بحرة الوضوء","نهر بردى","بركة السباحة","بئر ماء عميق","بحرة الوضوء","بحرة الوضوء تتوسط الصحن وتعتبر تحفة معمارية تستخدم لوضوء المصلين."
"DAM-E017","damascus","easy","أي حي دمشقي يقع على سفوح جبل قاسيون ويشتهر بإطلالته الرائعة على المدينة؟","حي المهاجرين","حي القابون","حي الميدان","حي الدويلعة","حي المهاجرين","حي المهاجرين سُمي بهذا الاسم لاستقباله المهاجرين قديماً، ويتميز بتدرجه على سفح الجبل."
"DAM-E018","damascus","easy","ماذا تُسمى الأزقة الضيقة المتعرجة والمسقوفة أحياناً في دمشق القديمة؟","الحارات والزواريب","الأوتوسترادات","الجادات العريضة","المحاور الرئيسية","الحارات والزواريب","الزواريب والحارات الضيقة صُممت هندسياً لتوفير الظل وكسر حدة الرياح صيفاً وشتاءً."
"DAM-E019","damascus","easy","ما هو الخان التاريخي الأعظم الذي يقع في سوق البزورية بدمشق؟","خان أسعد باشا","خان رستم باشا","خان الحرير","خان الجمرك","خان أسعد باشا","خان أسعد باشا هو أجمل خانات الشرق الأوسط ويتميز بقبابه التي تُدخل النور لساحته."
"DAM-E020","damascus","easy","أي نوع من الأشجار يشتهر به البيت الدمشقي ويزرع دائماً في أرض الديار ليثمر ويعطي رائحة زكية؟","أشجار النارنج والليمون (الحمضيات)","أشجار الصنوبر","أشجار النخيل الصحراوية","أشجار التفاح","أشجار النارنج والليمون (الحمضيات)","شجرة النارنج هي أيقونة البيت الدمشقي، تعطي رائحة عطرة (الزهر) وتستخدم في الطعام."
